t,S,I,R,D
54,657.6503489,14454.86381,82351.07279,2536.413042
55,610.1191177,13147.8429,83665.15132,2576.886661
56,570.0103662,11955.87924,84860.40977,2613.700621
57,535.9354906,10869.57955,85947.30788,2647.177083
58,506.8085234,9880.128095,86935.45148,2677.611905
59,481.7718577,8979.306939,87833.64494,2705.276264
60,460.1419708,8159.494135,88649.94557,2730.418324
61,441.3693423,7413.647986,89391.71776,2753.264907
62,425.0085576,6735.282558,90065.68576,2774.023122
63,410.695794,6118.438116,90677.98418,2792.881913
64,398.13171,5557.648926,91234.20582,2810.013539
65,387.0683286,5047.910079,91739.44664,2825.574956
66,377.298898,4584.644445,92198.34755,2839.709105
67,368.6499915,4163.670489,92615.13341,2852.546109
68,360.9753061,3781.171398,92993.64891,2864.204386
69,354.1507586,3433.665811,93337.39176,2874.791666
70,348.0705818,3117.980286,93649.5432,2884.405931
71,342.6441958,2831.223574,93932.99595,2893.136275
72,337.7936841,2570.762698,94190.37992,2901.063701
73,333.4517471,2334.2008,94424.08562,2908.261837
74,329.5600304,2119.356682,94636.28569,2914.797599
75,326.0677542,1924.24597,94828.95448,2920.731798
76,322.9305814,1747.063802,95003.88593,2926.119687
77,320.1096797,1586.168943,95162.70991,2931.011465
78,317.5709396,1440.069234,95306.90709,2935.452738
79,315.2843189,1307.408276,95437.82247,2939.484932
80,313.2232922,1186.953261,95556.67777,2943.145675
81,311.3643852,1077.583857,95664.58261,2946.469144
82,309.686779,978.2820599,95762.54478,2949.486379
83,308.1719739,888.1229425,95851.47951,2952.225569
84,306.8035009,806.2662219,95932.21796,2954.712313
85,305.5666744,731.9485737,96005.51489,2956.969859
86,304.4483789,664.4766338,96072.05567,2959.019315
87,303.4368848,603.2206266,96132.46264,2960.879849
88,302.5216878,547.608567,96187.30088,2962.568867
89,301.6933705,497.1209834,96237.08348,2964.102171
90,300.94348,451.2861185,96282.27629,2965.49411
91,300.2644219,409.6755647,96323.3023,2966.757711
92,299.6493669,371.9002949,96360.54554,2967.904802
93,299.0921685,337.6070548,96394.35465,2968.946123
94,298.5872903,306.4750827,96425.0462,2969.891423
95,298.1297425,278.2131292,96452.90757,2970.749553
96,297.7150245,252.5567478,96478.19968,2971.52855
97,297.3390748,229.2658343,96501.15938,2972.235709
98,296.9982263,208.1223898,96522.00173,2972.877653
99,296.6891664,188.9284898,96540.92195,2973.460396
100,296.4089013,171.5044379,96558.09727,2973.989396
101,296.154724,155.6870902,96573.68858,2974.469608
102,295.9241867,141.3283318,96587.84195,2974.905532
103,295.7150743,128.2936947,96600.68998,2975.301251
104,295.5253824,116.4611011,96612.35304,2975.660474
105,295.3532964,105.7197232,96622.94042,2975.986565
106,295.197173,95.96894742,96632.5513,2976.28258
107,295.0555242,87.11743341,96641.27575,2976.551293
108,294.9270018,79.08226032,96649.19552,2976.795222
109,294.8103844,71.78815107,96656.38481,2977.016652
110,294.7045649,65.16676816,96662.91101,2977.217659
111,294.6085402,59.15607428,96668.83526,2977.400126
112,294.5214008,53.69975176,96674.21308,2977.565763
113,294.4423221,48.74667547,96679.09488,2977.716122
114,294.3705567,44.25043425,96683.5264,2977.852613
115,294.3054266,40.16889641,96687.54916,2977.976514
116,294.246317,36.46381526,96691.20088,2978.088987
117,294.1926702,33.100471,96694.51577,2978.191086
118,294.1439807,30.04734553,96697.52491,2978.283767
119,294.0997894,27.27582733,96700.25648,2978.3679
120,294.0596804,24.75994342,96702.7361,2978.444272
121,294.0232759,22.47611614,96704.98701,2978.5136
122,293.9902334,20.40294223,96707.03029,2978.576533
123,293.960242,18.52099239,96708.8851,2978.633661
124,293.9330198,16.81262921,96710.56883,2978.68552
125,293.9083109,15.26184195,96712.09725,2978.732595
126,293.885883,13.85409652,96713.48469,2978.775329
127,293.8655254,12.57619935,96714.74416,2978.81412
128,293.8470468,11.4161737,96715.88745,2978.849333
129,293.8302738,10.36314748,96716.92528,2978.881299
130,293.8150487,9.407251387,96717.86738,2978.910315
131,293.8012288,8.539526371,96718.72259,2978.936656
132,293.7886842,7.751839735,96719.49891,2978.960566
133,293.7772972,7.036808895,96720.20362,2978.982272
134,293.7669609,6.387732204,96720.84333,2979.001975
135,293.7575784,5.798526149,96721.42404,2979.01986
136,293.7490616,5.26366834,96721.95117,2979.036096
137,293.7413306,4.778145753,96722.42969,2979.050834
138,293.7343129,4.337407753,96722.86407,2979.064213
139,293.7279426,3.937323443,96723.25838,2979.076358
140,293.7221601,3.574142952,96723.61631,2979.087382
141,293.7169111,3.24446229,96723.94124,2979.09739
142,293.7121463,2.945191446,96724.23619,2979.106475
143,293.7078212,2.673525425,96724.50393,2979.114721
144,293.703895,2.426917965,96724.74698,2979.122207
145,293.700331,2.203057665,96724.96761,2979.129002
146,293.6970958,1.999846328,96725.16789,2979.135171
147,293.6941591,1.815379292,96725.34969,2979.14077
148,293.6914932,1.64792758,96725.51473,2979.145854
149,293.6890733,1.495921696,96725.66454,2979.150468
150,293.6868766,1.357936913,96725.80053,2979.154656
151,293.6848826,1.232679921,96725.92398,2979.158459
152,293.6830725,1.118976703,96726.03604,2979.16191
153,293.6814294,1.015761536,96726.13777,2979.165043
154,293.6799378,0.922066998,96726.23011,2979.167887
155,293.6785839,0.837014901,96726.31393,2979.170469
