t,S,I,R
102,244.5369785,167.6053993,99587.85762
103,244.3320499,152.5734734,99603.09448
104,244.145657,138.8895506,99616.96479
105,243.9761106,126.4327742,99629.59112
106,243.8218777,115.0931185,99641.085
107,243.6815666,104.7704189,99651.54801
108,243.5539135,95.37348843,99661.0726
109,243.4377705,86.81931423,99669.74292
110,243.332095,79.03232481,99677.63558
111,243.2359395,71.94372351,99684.82034
112,243.148443,65.49088151,99691.36068
113,243.068823,59.61678503,99697.31439
114,242.9963681,54.26953221,99702.7341
115,242.9304316,49.40187487,99707.66769
116,242.8704255,44.97080143,99712.15877
117,242.8158151,40.93715714,99716.24703
118,242.7661142,37.26529835,99719.96859
119,242.7208804,33.92277771,99723.35634
120,242.6797116,30.88005766,99726.44023
121,242.6422418,28.11024951,99729.24751
122,242.6081381,25.58887595,99731.80299
123,242.5770978,23.29365485,99734.12925
124,242.5488452,21.2043024,99736.24685
125,242.5231298,19.30235394,99738.17452
126,242.4997235,17.57100083,99739.92928
127,242.4784187,15.99494193,99741.52664
128,242.4590265,14.56024844,99742.98073
129,242.4413752,13.25424081,99744.30438
130,242.4253083,12.06537671,99745.50931
131,242.4106836,10.98314904,99746.60617
132,242.3973714,9.997993113,99747.60464
133,242.385254,9.101202084,99748.51354
134,242.374224,8.284850063,99749.34093
135,242.3641838,7.541722046,99750.09409
136,242.3550446,6.865250167,99750.77971
137,242.3467255,6.249455656,99751.40382
138,242.3391528,5.688895999,99751.97195
139,242.3322596,5.178616847,99752.48912
140,242.3259848,4.714108226,99752.95991
141,242.3202731,4.291264688,99753.38846
142,242.3150738,3.906349018,99753.77858
143,242.3103409,3.555959216,99754.1337
144,242.3060327,3.236998425,99754.45697
145,242.302111,2.946647562,99754.75124
146,242.2985411,2.682340406,99755.01912
147,242.2952915,2.441740914,99755.26297
148,242.2923334,2.222722579,99755.48494
149,242.2896406,2.023349633,99755.68701
150,242.2871894,1.841859941,99755.87095
151,242.2849581,1.676649423,99756.03839
152,242.282927,1.526257883,99756.19082
153,242.2810781,1.389356097,99756.32957
154,242.279395,1.264734071,99756.45587
155,242.2778629,1.151290342,99756.57085
156,242.2764682,1.048022244,99756.67551
157,242.2751987,0.95401705,99756.77078
158,242.274043,0.868443901,99756.85751
159,242.272991,0.790546462,99756.93646
160,242.2720334,0.719636242,99757.00833
161,242.2711616,0.655086505,99757.07375
162,242.2703681,0.596326729,99757.13331
163,242.2696457,0.542837569,99757.18752
164,242.2689881,0.494146265,99757.23687
165,242.2683896,0.449822459,99757.28179
166,242.2678447,0.409474397,99757.32268
167,242.2673487,0.372745464,99757.35991
168,242.2668971,0.339311033,99757.39379
169,242.2664861,0.308875595,99757.42464
170,242.266112,0.281170146,99757.45272
171,242.2657714,0.255949814,99757.47828
172,242.2654613,0.232991688,99757.50155
173,242.2651791,0.212092855,99757.52273
174,242.2649222,0.1930686,99757.54201
175,242.2646883,0.175750778,99757.55956
176,242.2644754,0.159986325,99757.57554
177,242.2642816,0.145635909,99757.59008
178,242.2641052,0.132572693,99757.60332
179,242.2639446,0.120681218,99757.61537
180,242.2637985,0.109856382,99757.62635
181,242.2636654,0.100002509,99757.63633
182,242.2635443,0.091032507,99757.64542
183,242.263434,0.082867093,99757.6537
