t,S,I,R,D,R0,beta, gamma, mu
214,34.62995780814454,0.047709607296102345,63.37052055346446,1.951812031094892,1.6006984850594699,0.15,0.090909091,0.0028
215,34.62747953561298,0.04571705589597838,63.37485779049572,1.9519456179953212,1.6006984850594699,0.15,0.090909091,0.0028
216,34.625104935986776,0.04380755177096975,63.37901388649042,1.9520736257518299,1.6006984850594699,0.15,0.090909091,0.0028
217,34.62282967437119,0.04197764753116449,63.382996391200855,1.9521962868967886,1.6006984850594699,0.15,0.090909091,0.0028
218,34.620649596960284,0.04022403774960411,63.38681254098023,1.9523138243098759,1.6006984850594699,0.15,0.090909091,0.0028
219,34.61856072348583,0.038543553210194946,63.390469271688396,1.9524264516155747,1.6006984850594699,0.15,0.090909091,0.0028
220,34.61655923997987,0.03693315538091651,63.393973231074646,1.9525343735645633,1.6006984850594699,0.15,0.090909091,0.0028
221,34.61464149183813,0.03538993110415338,63.39733079065809,1.9526377863996298,1.6006984850594699,0.15,0.090909091,0.0028
222,34.612803977171744,0.03391108749621722,63.40054805712532,1.9527368782067214,1.6006984850594699,0.15,0.090909091,0.0028
223,34.61104334043551,0.03249394704836417,63.40363088326442,1.9528318292517108,1.6006984850594699,0.15,0.090909091,0.0028
224,34.609356366321116,0.03113594292184895,63.406584878453586,1.9529228123034463,1.6006984850594699,0.15,0.090909091,0.0028
225,34.60773997390454,0.029834614429790157,63.40941541872204,1.9530099929436275,1.6006984850594699,0.15,0.090909091,0.0028
226,34.60619121103693,0.028587602698850856,63.41212765640019,1.9530935298640308,1.6006984850594699,0.15,0.090909091,0.0028
227,34.604707248969035,0.027392646503964776,63.41472652937541,1.9531735751515875,1.6006984850594699,0.15,0.090909091,0.0028
228,34.60328537719947,0.0262475782695602,63.417216769969166,1.9532502745617986,1.6006984850594699,0.15,0.090909091,0.0028
229,34.60192299853749,0.025150320230951317,63.4196029134506,1.9533237677809534,1.6006984850594699,0.15,0.090909091,0.0028
230,34.60061762437146,0.024098880749779866,63.42188930620116,1.9533941886776,1.6006984850594699,0.15,0.090909091,0.0028
231,34.59936687013446,0.023091350777598284,63.424080113544235,1.9534616655436994,1.6006984850594699,0.15,0.090909091,0.0028
232,34.59816845095884,0.022125900461889038,63.42617932725339,1.9535263213258767,1.6006984850594699,0.15,0.090909091,0.0028
233,34.59702017751187,0.021200775889013312,63.42819077275193,1.95358827384717,1.6006984850594699,0.15,0.090909091,0.0028
234,34.595919952005055,0.02031429595877581,63.430118116016494,1.953647636019659,1.6006984850594699,0.15,0.090909091,0.0028
235,34.59486576436975,0.019464849385480675,63.43196487019641,1.9537045160483437,1.6006984850594699,0.15,0.090909091,0.0028
236,34.59385568859233,0.01865089182053694,63.43373440196049,1.953759017626623,1.6006984850594699,0.15,0.090909091,0.0028
237,34.59288787920217,0.017870943091849893,63.435429937582235,1.9538112401237206,1.6006984850594699,0.15,0.090909091,0.0028
238,34.59196056790616,0.01712358455540786,63.43705456877403,1.9538612787643779,1.6006984850594699,0.15,0.090909091,0.0028
239,34.59107206036358,0.016407456554641764,63.43861125828062,1.953909224801133,1.6006984850594699,0.15,0.090909091,0.0028
240,34.59022073309556,0.015721255983297638,63.440102845241626,1.953955165679486,1.6006984850594699,0.15,0.090909091,0.0028
241,34.589405030523565,0.015063733947720152,63.44153205033245,1.9539991851962393,1.6006984850594699,0.15,0.090909091,0.0028
242,34.58862346213138,0.014433693524598066,63.442901480692704,1.954041363651293,1.6006984850594699,0.15,0.090909091,0.0028
243,34.587874599745646,0.013829987610370584,63.4442136346508,1.9540817779931619,1.6006984850594699,0.15,0.090909091,0.0028
244,34.58715707492987,0.013251516858636795,63.445470906253,1.9541205019584709,1.6006984850594699,0.15,0.090909091,0.0028
245,34.58646957648726,0.012697227702048893,63.44667558960499,1.9541576062056751,1.6006984850594699,0.15,0.090909091,0.0028
246,34.58581084806783,0.01216611045530384,63.447829883033606,1.9541931584432408,1.6006984850594699,0.15,0.090909091,0.0028
247,34.58517968587538,0.01165719749597748,63.448935893076104,1.9542272235525158,1.6006984850594699,0.15,0.090909091,0.0028
248,34.58457493647033,0.01116956152007013,63.449995638304074,1.9542598637055044,1.6006984850594699,0.15,0.090909091,0.0028
