t,S,I,R,R0,beta, gamma
151,27.59768318294382,0.01025839142914713,72.39205842562704,1.74999999825,0.25,0.142857143
152,27.596975413352247,0.009500676529374056,72.39352391011839,1.74999999825,0.25,0.142857143
153,27.596319938510767,0.008798911865298895,72.39488114962394,1.74999999825,0.25,0.142857143
154,27.595712894543404,0.00814896842207736,72.39613813703453,1.74999999825,0.25,0.142857143
155,27.595150703060998,0.007547021557308038,72.3973022753817,1.74999999825,0.25,0.142857143
156,27.594630050067916,0.006989528612554515,72.39838042131954,1.74999999825,0.25,0.142857143
157,27.594147866427196,0.006473208164767739,72.39937892540804,1.74999999825,0.25,0.142857143
158,27.593701309769024,0.005995020798476658,72.4003036694325,1.74999999825,0.25,0.142857143
159,27.593287747735875,0.005552151288128249,72.401160100976,1.74999999825,0.25,0.142857143
160,27.592904742465596,0.00514199208788319,72.40195326544652,1.74999999825,0.25,0.142857143
161,27.592550036220928,0.004762128033548274,72.40268783574552,1.74999999825,0.25,0.142857143
162,27.592221538080818,0.004410322168186788,72.403368139751,1.74999999825,0.25,0.142857143
163,27.59191731161502,0.0040845026093273545,72.40399818577565,1.74999999825,0.25,0.142857143
164,27.59163556346938,0.003782750381621894,72.40458168614899,1.74999999825,0.25,0.142857143
165,27.591374632794487,0.0035032881443144456,72.40512207906119,1.74999999825,0.25,0.142857143
166,27.591132981455395,0.0032444697480029303,72.40562254879659,1.74999999825,0.25,0.142857143
167,27.590909184964715,0.0030047705599319467,72.40608604447533,1.74999999825,0.25,0.142857143
168,27.590701924085614,0.002782778501471403,72.4065152974129,1.74999999825,0.25,0.142857143
169,27.590509977055227,0.002577185745536505,72.40691283719922,1.74999999825,0.25,0.142857143
170,27.590332212382666,0.0023867810255112087,72.4072810065918,1.74999999825,0.25,0.142857143
171,27.590167582179134,0.0022104425107702316,72.40762197531008,1.74999999825,0.25,0.142857143
172,27.590015115980876,0.002047131207173158,72.40793775281193,1.74999999825,0.25,0.142857143
173,27.5898739150285,0.0018958848439460188,72.40823020012753,1.74999999825,0.25,0.142857143
