t,S,I,R,R0,beta, gamma
66,11.014159164519771,10.337883804947825,78.64795703053235,2.74999999725,0.25,0.090909091
67,10.729501420389754,9.682733929506414,79.58776465010378,2.74999999725,0.25,0.090909091
68,10.469774151765016,9.062212658204865,80.46801319003006,2.74999999725,0.25,0.090909091
69,10.232575852148338,8.475573442615445,81.29185070523616,2.74999999725,0.25,0.090909091
70,10.015758481793297,7.921884135598576,82.06235738260807,2.74999999725,0.25,0.090909091
71,9.817399286236034,7.400072045381252,82.78252866838265,2.74999999725,0.25,0.090909091
72,9.635775631194981,6.908961877442184,83.45526249136277,2.74999999725,0.25,0.090909091
73,9.4693426149562,6.447307449649044,84.0833499353947,2.74999999725,0.25,0.090909091
74,9.316713206994486,6.013817997965637,84.66946879503982,2.74999999725,0.25,0.090909091
75,9.176640663079217,5.60717981424641,85.21617952267431,2.74999999725,0.25,0.090909091
76,9.04800297735769,5.2260738799812465,85.725923142661,2.74999999725,0.25,0.090909091
77,8.929789147292786,4.8691900841182125,86.20102076858895,2.74999999725,0.25,0.090909091
78,8.821087045369625,4.535238541587973,86.64367441304235,2.74999999725,0.25,0.090909091
79,8.721072710502469,4.222958463171201,87.05596882632628,2.74999999725,0.25,0.090909091
80,8.629000890975599,3.93112496748042,87.43987414154392,2.74999999725,0.25,0.090909091
81,8.544196688858285,3.6585541721966828,87.79724913894498,2.74999999725,0.25,0.090909091
82,8.466048172748057,3.404106854138254,88.12984497311363,2.74999999725,0.25,0.090909091
83,8.393999841217266,3.1666909258924667,88.43930923289021,2.74999999725,0.25,0.090909091
84,8.327546833394452,2.945262940164448,88.72719022644104,2.74999999725,0.25,0.090909091
85,8.266229795717251,2.738828801195312,88.99494140308738,2.74999999725,0.25,0.090909091
86,8.209630325112728,2.54644383507855,89.24392583980867,2.74999999725,0.25,0.090909091
87,8.157366918788586,2.367212347073148,89.47542073413821,2.74999999725,0.25,0.090909091
88,8.10909136956418,2.2002867736211575,89.6906218568146,2.74999999725,0.25,0.090909091
89,8.064485553347836,2.0448665193082793,89.89064792734382,2.74999999725,0.25,0.090909091
90,8.02325856208912,1.9001965540803454,90.07654488383046,2.74999999725,0.25,0.090909091
91,7.985144141408677,1.7655658333080122,90.24929002528324,2.74999999725,0.25,0.090909091
92,7.9498983972334,1.6403055924766003,90.40979601028994,2.74999999725,0.25,0.090909091
93,7.917297740231893,1.523787559103843,90.5589147006642,2.74999999725,0.25,0.090909091
94,7.887137040736177,1.4154221167243197,90.69744084253944,2.74999999725,0.25,0.090909091
95,7.8592279702234435,1.31465644922435,90.82611558055214,2.74999999725,0.25,0.090909091
96,7.833397508380997,1.2209726882905234,90.94562980332842,2.74999999725,0.25,0.090909091
97,7.809486597345356,1.1338860820978462,91.05662732055673,2.74999999725,0.25,0.090909091
98,7.787348926942707,1.0529431994794285,91.1597078735778,2.74999999725,0.25,0.090909091
99,7.766849836706212,0.9777201805766164,91.2554299827171,2.74999999725,0.25,0.090909091
100,7.747865322144073,0.90782104227018,91.34431363558568,2.74999999725,0.25,0.090909091
101,7.7302811342137785,0.8428760444570199,91.42684282132913,2.74999999725,0.25,0.090909091
102,7.713991962251411,0.7825401213921237,91.5034679163564,2.74999999725,0.25,0.090909091
103,7.698900691735016,0.7264913808017313,91.57460792746319,2.74999999725,0.25,0.090909091
104,7.684917729249531,0.6744296722391959,91.64065259851121,2.74999999725,0.25,0.090909091
105,7.671960387886224,0.62607522515581,91.7019643869579,2.74999999725,0.25,0.090909091
106,7.659952327068143,0.5811673563573558,91.75888031657443,2.74999999725,0.25,0.090909091
107,7.648823041458779,0.5394632458813995,91.81171371265975,2.74999999725,0.25,0.090909091
108,7.638507394195984,0.5007367798332064,91.86075582597074,2.74999999725,0.25,0.090909091
109,7.628945190207729,0.4647774583365571,91.90627735145564,2.74999999725,0.25,0.090909091
110,7.620080785819495,0.43138936647012444,91.9485298477103,2.74999999725,0.25,0.090909091
111,7.611862731262881,0.40039020585387414,91.98774706288317,2.74999999725,0.25,0.090909091
112,7.6042434430481265,0.37161038440915,92.02414617254266,2.74999999725,0.25,0.090909091
113,7.597178903475597,0.3448921617288833,92.05792893479546,2.74999999725,0.25,0.090909091
114,7.590628384837945,0.32008884745073746,92.08928276771125,2.74999999725,0.25,0.090909091
115,7.584554196110121,0.2970640500175773,92.11838175387224,2.74999999725,0.25,0.090909091
116,7.578921450142435,0.2756909732293865,92.14538757662812,2.74999999725,0.25,0.090909091
117,7.573697849565888,0.25585175803274474,92.1704503924013,2.74999999725,0.25,0.090909091
118,7.568853489791837,0.2374368670532866,92.19370964315482,2.74999999725,0.25,0.090909091
119,7.564360677642333,0.22034450944908823,92.21529481290852,2.74999999725,0.25,0.090909091
120,7.560193764285305,0.20448010374525838,92.23532613196939,2.74999999725,0.25,0.090909091
121,7.556328991272167,0.18975577639932953,92.25391523232845,2.74999999725,0.25,0.090909091
122,7.552744348585998,0.17608989394103627,92.27116575747291,2.74999999725,0.25,0.090909091
123,7.549419443707732,0.16340662662683594,92.28717392966539,2.74999999725,0.25,0.090909091
124,7.5463353807970135,0.1516355416475322,92.3020290775554,2.74999999725,0.25,0.090909091
125,7.543474649164711,0.14071122402536515,92.31581412680987,2.74999999725,0.25,0.090909091
126,7.54082102028649,0.13057292343394253,92.32860605627951,2.74999999725,0.25,0.090909091
127,7.538359452672212,0.12116422526962754,92.34047632205811,2.74999999725,0.25,0.090909091
128,7.536076003964995,0.11243274439586398,92.35149125163909,2.74999999725,0.25,0.090909091
129,7.533957749697241,0.10432984007195464,92.36171241023075,2.74999999725,0.25,0.090909091
130,7.531992708179404,0.09681035066467482,92.37119694115587,2.74999999725,0.25,0.090909091
131,7.530169771041197,0.08983234682456454,92.37999788213419,2.74999999725,0.25,0.090909091
132,7.528478638984897,0.0833569018886467,92.38816445912641,2.74999999725,0.25,0.090909091
133,7.526909762346695,0.07734787834757523,92.39574235930569,2.74999999725,0.25,0.090909091
134,7.525454286095117,0.0717717292877965,92.40277398461704,2.74999999725,0.25,0.090909091
135,7.524103998925644,0.06659731378821811,92.4092986872861,2.74999999725,0.25,0.090909091
136,7.522851286138165,0.061795725316168525,92.41535298854562,2.74999999725,0.25,0.090909091
137,7.521689086008983,0.057340132229171406,92.4209707817618,2.74999999725,0.25,0.090909091
138,7.520610849392037,0.053205629547343807,92.42618352106057,2.74999999725,0.25,0.090909091
139,7.519610502304981,0.049369101216168255,92.4310203964788,2.74999999725,0.25,0.090909091
140,7.518682411274995,0.045809092131105546,92.43550849659385,2.74999999725,0.25,0.090909091
141,7.517821351236788,0.042505689244138035,92.43967295951903,2.74999999725,0.25,0.090909091
142,7.517022475791416,0.03944041111799651,92.44353711309054,2.74999999725,0.25,0.090909091
143,7.516281289649345,0.036596105336664235,92.44712260501394,2.74999999725,0.25,0.090909091
144,7.515593623094805,0.03395685322090786,92.45044952368424,2.74999999725,0.25,0.090909091
145,7.514955608320986,0.03150788133519326,92.45353651034378,2.74999999725,0.25,0.090909091
146,7.51436365749712,0.02923547930754053,92.4564008631953,2.74999999725,0.25,0.090909091
147,7.513814442439075,0.02712692351678794,92.4590586340441,2.74999999725,0.25,0.090909091
148,7.513304875764827,0.02517040623249868,92.46152471800264,2.74999999725,0.25,0.090909091
149,7.512832093425148,0.023354969821480526,92.46381293675333,2.74999999725,0.25,0.090909091
