t,S,I,R,D,R0,beta, gamma, mu
26,95.08475043822354,1.460195330648121,3.3518182297551213,0.10323600137322175,0.8567921547761038,0.078306867,0.090909091,0.0028
27,94.97602737628391,1.4320848154702643,3.4845632599467864,0.1073245482990365,0.8356378891776893,0.076373463,0.090909091,0.0028
28,94.87214898309415,1.4017638423674028,3.614752788756091,0.11133438578235323,0.8150059101523033,0.074487796,0.090909091,0.0028
29,94.77308889366347,1.3694659163331702,3.7421858654623787,0.11525932454098196,0.7948833480841255,0.072648685,0.090909091,0.0028
30,94.67879924421642,1.3354241596051497,3.866682767071709,0.11909382910671484,0.7752576001404177,0.070854983,0.090909091,0.0028
31,94.58921278572835,1.2998692339971816,3.988084963520852,0.12283301675360926,0.7561164263134299,0.069105567,0.090909091,0.0028
32,94.5042449980714,1.2630274573173859,4.106254894002403,0.12647265060880136,0.7374478427071713,0.067399345,0.090909091,0.0028
33,94.42379615836592,1.2251191420896173,4.221075572055168,0.13000912748929006,0.7192401962366703,0.065735249,0.090909091,0.0028
34,94.34775335928812,1.1863571399954906,4.332450039629235,0.13343946108714097,0.7014820899287135,0.06411224,0.090909091,0.0028
35,94.27599244517145,1.1469456049218167,4.440300688827585,0.13676126107912834,0.684162436278461,0.062529303,0.090909091,0.0028
36,94.20837986301267,1.1070789570169353,4.544568471197472,0.13997270877290943,0.6672704038928304,0.060985449,0.090909091,0.0028
37,94.14477440903853,1.0669410482637776,4.64521201284511,0.14307252985255686,0.6507954388331437,0.059479713,0.090909091,0.0028
38,94.08502886674962,1.026704514769299,4.742206653693357,0.14605996478769545,0.6347272432724803,0.058011154,0.090909091,0.0028
39,94.02899152839419,0.98653030632011,4.83554342785663,0.1489347374290495,0.6190557754956775,0.056578853,0.090909091,0.0028
40,93.97650759827388,0.9465673781911988,4.925228001248143,0.1516970222867458,0.603771228556683,0.055181916,0.090909091,0.0028
41,93.92742047169583,0.9069525361887064,5.011279581169758,0.15434741094568116,0.5888640622925262,0.05381947,0.090909091,0.0028
42,93.88157289647687,0.8678104136612699,5.093729811814818,0.15688687804700954,0.574324960638024,0.052490662,0.090909091,0.0028
