beta,gamma,mu
3.46E-05,0.090909091,0.0028
3.37E-05,0.090909091,0.0028
3.29E-05,0.090909091,0.0028
3.21E-05,0.090909091,0.0028
3.13E-05,0.090909091,0.0028
3.05E-05,0.090909091,0.0028
2.98E-05,0.090909091,0.0028
2.90E-05,0.090909091,0.0028
2.83E-05,0.090909091,0.0028
2.76E-05,0.090909091,0.0028
2.69E-05,0.090909091,0.0028
2.63E-05,0.090909091,0.0028
2.56E-05,0.090909091,0.0028
2.50E-05,0.090909091,0.0028
2.44E-05,0.090909091,0.0028
2.38E-05,0.090909091,0.0028
2.32E-05,0.090909091,0.0028
2.26E-05,0.090909091,0.0028
2.21E-05,0.090909091,0.0028
2.15E-05,0.090909091,0.0028
2.10E-05,0.090909091,0.0028
2.05E-05,0.090909091,0.0028
2.00E-05,0.090909091,0.0028
1.95E-05,0.090909091,0.0028
1.90E-05,0.090909091,0.0028
1.85E-05,0.090909091,0.0028
1.81E-05,0.090909091,0.0028
1.76E-05,0.090909091,0.0028
1.72E-05,0.090909091,0.0028
1.67E-05,0.090909091,0.0028
1.63E-05,0.090909091,0.0028
1.59E-05,0.090909091,0.0028
1.55E-05,0.090909091,0.0028
1.52E-05,0.090909091,0.0028
1.48E-05,0.090909091,0.0028
1.44E-05,0.090909091,0.0028
1.41E-05,0.090909091,0.0028
1.37E-05,0.090909091,0.0028
1.34E-05,0.090909091,0.0028
1.30E-05,0.090909091,0.0028
1.27E-05,0.090909091,0.0028
1.24E-05,0.090909091,0.0028
1.21E-05,0.090909091,0.0028
1.18E-05,0.090909091,0.0028
1.15E-05,0.090909091,0.0028
1.12E-05,0.090909091,0.0028
1.10E-05,0.090909091,0.0028
1.07E-05,0.090909091,0.0028
1.04E-05,0.090909091,0.0028
1.02E-05,0.090909091,0.0028
9.91E-06,0.090909091,0.0028
9.66E-06,0.090909091,0.0028
9.43E-06,0.090909091,0.0028
9.19E-06,0.090909091,0.0028
8.97E-06,0.090909091,0.0028
8.74E-06,0.090909091,0.0028
